,indicator_id,region_id,date,value,indicator,category,region_type,region
4,Z4BR,403295,2/28/2021,764876.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,Lake View East; IL; Chicago-Naperville-Elgin; Cook County; Chicago
108,Z4BR,140292,6/30/2022,665452.3199,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Sauganash;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
252,Z4BR,763519,6/30/2022,312784.3503,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Boulevard District;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
291,Z4BR,269593,2/28/2021,1701333.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"The Loop;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
311,Z4BR,820525,6/30/2022,252616.7138,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Southeast Elgin;IL;Chicago-Naperville-Elgin, IL-IN-WI;Elgin;Cook County"
358,Z4BR,33420,2/28/2021,495777.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Pilsen;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
365,Z4BR,403306,2/28/2021,1508634.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Sheffield Neighbors; IL; Chicago-Naperville-Elgin, IL-IN-WI; Cook County; Chicago"
402,Z4BR,403307,2/28/2021,1066311.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Wrightwood Neighbors; IL; Chicago-Naperville-Elgin, IL-IN-WI; Cook County; Chicago"
403,Z4BR,819090,6/30/2022,333707.4705,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Waterford;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
588,Z4BR,810758,6/30/2022,687304.3306,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"White Eagle Club;IL;Chicago-Naperville-Elgin, IL-IN-WI;Naperville;Will County"
646,Z4BR,764025,2/28/2021,809369.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Downtown;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
705,Z4BR,403353,2/28/2021,164521.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"West Woodlawn;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
729,Z4BR,403311,2/28/2021,683747.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"East Ukrainian Village;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
836,Z4BR,820722,6/30/2022,253278.445,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Hobart Marsh;IN;Chicago-Naperville-Elgin, IL-IN-WI;Hobart;Lake County"
837,Z4BR,820722,7/31/2022,254468.8774,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Hobart Marsh;IN;Chicago-Naperville-Elgin, IL-IN-WI;Hobart;Lake County"
892,Z4BR,403360,2/28/2021,157180.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"East Chatham;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
909,Z4BR,820720,6/30/2022,245041.5551,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Liberty;IN;Chicago-Naperville-Elgin, IL-IN-WI;Hobart;Lake County"
910,Z4BR,820720,7/31/2022,246584.1556,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Liberty;IN;Chicago-Naperville-Elgin, IL-IN-WI;Hobart;Lake County"
936,Z4BR,403342,2/28/2021,1870899.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"New Eastside;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
975,Z4BR,821864,6/30/2022,420014.9625,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Liberty Grove;IL;Chicago-Naperville-Elgin, IL-IN-WI;Plainfield;Will County"
1017,Z4BR,141104,2/28/2021,65943.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Aetna;IN;Chicago-Naperville-Elgin, IL-IN-WI;Gary;Lake County"
1040,Z4BR,403300,2/28/2021,1577996.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"River North;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1284,Z4BR,403352,2/28/2021,428171.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,East Hyde Park; IL; Chicago-Naperville-Elgin; Cook County; Chicago
1285,Z4BR,403313,2/28/2021,1328981.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Fulton River District;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1378,Z4BR,269591,2/28/2021,820585.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Lincoln Square;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1395,Z4BR,403315,2/28/2021,332440.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Kelvin Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1477,Z4BR,403296,2/28/2021,1067261.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Lathrop Homes; IL; Chicago-Naperville-Elgin, IL-IN-WI; Cook County; Chicago"
1485,Z4BR,403560,2/28/2021,217123.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Douglas Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1486,ZALL,403560,10/31/2006,191321.0455,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,neigh,"Douglas Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1495,Z4BR,403327,2/28/2021,227834.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Homan Square;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1598,Z4BR,764275,2/28/2021,213382.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Red Arrow;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
1616,Z4BR,403298,2/28/2021,1067024.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Goose Island;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1698,Z4BR,403324,2/28/2021,289166.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Hanson Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1699,ZALL,403324,10/31/2006,196379.1473,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,neigh,"Hanson Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1700,Z4BR,403305,2/28/2021,1473623.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Ranch Triangle; IL; Chicago-Naperville-Elgin, IL-IN-WI; Cook County; Chicago"
1722,Z4BR,403294,2/28/2021,783193.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Wrigleyville;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
1759,Z4BR,810777,6/30/2022,750427.308,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"River Run;IL;Chicago-Naperville-Elgin, IL-IN-WI;Naperville;Will County"
1817,Z4BR,827395,6/30/2022,484672.1272,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Cornerstone Lakes;IL;Chicago-Naperville-Elgin, IL-IN-WI;West Chicago;DuPage County"
1866,Z4BR,265035,2/28/2021,160922.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Wilson;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
1883,Z4BR,810772,6/30/2022,542613.0611,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Saddle Creek;IL;Chicago-Naperville-Elgin, IL-IN-WI;Naperville;Will County"
1884,Z4BR,269580,6/30/2022,521094.8583,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Forest Glen;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2185,Z4BR,403144,2/28/2021,539262.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Lake Meadows;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2258,Z4BR,403309,2/28/2021,1263158.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"West De Paul; IL; Chicago-Naperville-Elgin, IL-IN-WI; Cook County; Chicago"
2284,Z4BR,820124,6/30/2022,388713.729,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Victoria Crossing;IL;Chicago-Naperville-Elgin, IL-IN-WI;Lockport;Will County"
2287,Z4BR,141336,2/28/2021,83997.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Black Oak;IN;Chicago-Naperville-Elgin, IL-IN-WI;Gary;Lake County"
2288,Z3BR,141336,10/31/2023,90835.95012,ZHVI 3-Bedroom Time Series ($),Home values,neigh,"Black Oak;IN;Chicago-Naperville-Elgin, IL-IN-WI;Gary;Lake County"
2298,Z4BR,29782,6/30/2022,327739.574,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Silver Lake;WI;Chicago-Naperville-Elgin, IL-IN-WI;Salem;Kenosha County"
2315,Z4BR,403369,6/30/2022,364401.3155,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Mount Greenwood Heights;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2342,Z4BR,137799,2/28/2021,380014.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Chinatown;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2463,Z4BR,269567,2/28/2021,1001627.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Andersonville;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2528,Z4BR,409868,2/28/2021,260395.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Georgetown;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;DuPage County"
2608,Z4BR,764272,2/28/2021,200974.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Villa Capri;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
2695,Z4BR,269588,7/31/2022,422810.0959,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Jefferson Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2730,Z4BR,138261,7/31/2022,114178.4839,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Englewood;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2768,Z4BR,140009,2/28/2021,177727.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Preston Heights;IL;Chicago-Naperville-Elgin, IL-IN-WI;Joliet;Will County"
2784,Z4BR,764278,2/28/2021,235097.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Stocker;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
2806,Z4BR,403259,2/28/2021,744645.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Magnolia Glen;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2830,Z4BR,764028,2/28/2021,644373.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Noyes and Foster;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
2884,Z4BR,269615,7/31/2022,1029776.608,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"West Town;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
2983,Z4BR,403359,2/28/2021,89193.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"The Bush;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3000,Z4BR,403344,2/28/2021,1160187.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Dearborn Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3128,Z4BR,763517,2/28/2021,200170.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"West Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
3164,Z4BR,137841,7/31/2022,340301.5237,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Clearing;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3175,Z4BR,403319,2/28/2021,239709.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Fifth City;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3225,Z4BR,275251,7/31/2022,148670.8987,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Roseland;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3254,Z4BR,269595,7/31/2022,282118.148,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Morgan Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3266,Z4BR,403141,7/31/2022,686968.6791,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"University Village - Little Italy;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3268,Z4BR,269603,7/31/2022,487415.787,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"O'Hare;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3282,Z4BR,764274,2/28/2021,171259.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Central Business District;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
3283,Z3BR,764274,10/31/2023,304626.0639,ZHVI 3-Bedroom Time Series ($),Home values,neigh,"Central Business District;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
3316,Z4BR,269576,7/31/2022,238993.8411,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Chicago Lawn;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3331,Z4BR,403346,2/28/2021,406370.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"The Gap;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3425,Z4BR,403325,7/31/2022,364497.5079,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Galewood;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3475,Z4BR,269602,7/31/2022,475240.9851,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Norwood Park East;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3476,Z4BR,144456,7/31/2022,193468.8032,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Woodmar;IN;Chicago-Naperville-Elgin, IL-IN-WI;Hammond;Lake County"
3498,Z4BR,403293,2/28/2021,1172217.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"South East Ravenswood;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3590,Z4BR,269579,7/31/2022,529250.807,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Edison Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3591,ZALL,269579,7/31/2003,254694.2264,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,neigh,"Edison Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3594,Z4BR,403292,7/31/2022,1140350.054,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Roscoe Village;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
3632,Z4BR,403317,7/31/2022,359708.22,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Belmont Gardens;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4131,Z4BR,403362,2/28/2021,141718.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Princeton Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4132,Z3BR,403362,10/31/2023,131450.1607,ZHVI 3-Bedroom Time Series ($),Home values,neigh,"Princeton Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4261,Z4BR,198813,2/28/2021,385368.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"West End;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
4324,Z4BR,403297,2/28/2021,773755.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"River West;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4633,Z4BR,403331,2/28/2021,529481.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"East Pilsen;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4635,Z4BR,764271,2/28/2021,206467.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Poerio;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
4644,Z4BR,269581,2/28/2021,180133.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Fuller Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4672,Z4BR,763516,2/28/2021,179937.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Southwest Aurora;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
4674,Z4BR,403261,2/28/2021,822798.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Ravenswood Gardens;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4739,Z4BR,403334,2/28/2021,229667.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"LeClaire Courts;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
4783,Z4BR,267778,2/28/2021,47368.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Pulaski;IN;Chicago-Naperville-Elgin, IL-IN-WI;Gary;Lake County"
5070,Z4BR,403370,2/28/2021,378857.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Tally's Corner;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
5071,Z4BR,403345,2/28/2021,347639.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"South Commons;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
5101,Z4BR,403336,2/28/2021,218474.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Chrysler Village;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
5216,Z4BR,762151,2/28/2021,517734.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Downtown;IL;Chicago-Naperville-Elgin, IL-IN-WI;Wheaton;DuPage County"
5360,Z4BR,762518,2/28/2021,122972.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Uptown;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
5610,Z4BR,272042,2/28/2021,247547.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Blackhawk;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
5611,ZALL,272042,4/30/2018,171325.5684,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,neigh,"Blackhawk;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
5683,Z4BR,764021,2/28/2021,350369.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Southwest;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
5684,ZALL,764021,4/30/2018,251656.6241,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,neigh,"Southwest;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
5726,Z4BR,763518,2/28/2021,212225.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Northwest Aurora;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
5907,Z4BR,763520,2/28/2021,249397.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Arrow Wood;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;Kane County"
6022,Z4BR,403335,2/28/2021,250703.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Sleepy Hollow;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6050,Z4BR,143922,7/31/2022,212155.894,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"South Haven;IN;Chicago-Naperville-Elgin, IL-IN-WI;Valparaiso;Porter County"
6062,Z4BR,51847,7/31/2022,609301.7381,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Edgebrook;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6066,Z4BR,403326,2/28/2021,229222.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"The Island;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6094,Z4BR,403258,2/28/2021,730763.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Edgewater Glen;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6095,ZALL,403258,4/30/2018,338858.3446,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,neigh,"Edgewater Glen;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6097,Z4BR,764277,7/31/2022,290532.0242,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Lance;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
6226,Z4BR,403380,2/28/2021,63642.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Golden Gate;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6472,Z4BR,403366,2/28/2021,335862.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Marycrest;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6512,Z4BR,403364,2/28/2021,126983.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Winneconna Parkway;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6553,Z4BR,403321,7/31/2022,576554.9663,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Tri-Taylor;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
6598,Z4BR,764029,7/31/2022,883041.5975,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Central Street;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
6711,Z4BR,760977,2/28/2021,212800.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"North 5th Ward;IL;Chicago-Naperville-Elgin, IL-IN-WI;Dekalb;DeKalb County"
6715,Z4BR,763512,7/31/2022,342502.9456,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Southeast Aurora;IL;Chicago-Naperville-Elgin, IL-IN-WI;Aurora;DuPage County"
6841,Z4BR,265126,2/28/2021,262633.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Southport;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
6870,Z4BR,762519,2/28/2021,118016.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Bain Park;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
6988,Z4BR,820123,7/31/2022,446502.9857,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Broken Arrow;IL;Chicago-Naperville-Elgin, IL-IN-WI;Lockport;Will County"
6992,Z4BR,265231,7/31/2022,138218.2298,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Columbus;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
7519,Z4BR,403358,7/31/2022,242255.934,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Marynook;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
7525,Z4BR,764280,7/31/2022,412782.0176,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"River Crossing;WI;Chicago-Naperville-Elgin, IL-IN-WI;Kenosha;Kenosha County"
7617,Z4BR,403339,2/28/2021,200524.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Lithuanian Plaza;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
7712,Z4BR,764027,2/28/2021,403900.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Hill Arts District;IL;Chicago-Naperville-Elgin, IL-IN-WI;Evanston;Cook County"
8034,Z4BR,403274,2/28/2021,829516.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Old Edgebrook;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
8230,Z4BR,403368,2/28/2021,207089.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Beverly View;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
8314,Z4BR,403381,2/28/2021,75294.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Eden Green;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
8450,Z4BR,760975,2/28/2021,122539.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Pleasent Street;IL;Chicago-Naperville-Elgin, IL-IN-WI;Dekalb;DeKalb County"
9322,Z4BR,403120,8/31/2022,245512.7806,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"South Austin;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
9392,Z4BR,403146,8/31/2022,156803.0574,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Back of the Yards;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
9423,Z4BR,275192,2/28/2021,68232.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Riverdale;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
9429,Z4BR,403348,2/28/2021,442689.0,ZHVI 4-Bedroom Time Series ($),Home values,neigh,"Groveland Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Chicago;Cook County"
10118,ZALL,138310,11/30/2005,121726.4799,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Fairmont;IL;Chicago-Naperville-Elgin, IL-IN-WI;Will County"
10119,ZALL,138310,12/31/2005,122783.1074,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Fairmont;IL;Chicago-Naperville-Elgin, IL-IN-WI;Will County"
10196,ZALL,25866,11/30/2005,162393.8893,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Merrionette Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Cook County"
10197,ZALL,25866,12/31/2005,165066.4162,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Merrionette Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Cook County"
10488,ZALL,40136,11/30/2005,273380.9175,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Ogden Dunes;IN;Chicago-Naperville-Elgin, IL-IN-WI;Porter County"
10489,ZALL,40136,12/31/2005,276385.5352,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Ogden Dunes;IN;Chicago-Naperville-Elgin, IL-IN-WI;Porter County"
10721,ZALL,33488,11/30/2005,345921.2467,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Port Barrington;IL;Chicago-Naperville-Elgin, IL-IN-WI;Lake County"
10722,ZALL,33488,12/31/2005,346960.7181,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values,city,"Port Barrington;IL;Chicago-Naperville-Elgin, IL-IN-WI;Lake County"
